wav,label,Cluster_0,Cluster_1,Cluster_2,Projection
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-280__source_drama__0__angry_media.wav,train,114,1,0,"[-6.187823901148104, 4.140429498819563]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-274__source_drama__0__angry_media.wav,train,115,16,0,"[-9.4549520865722, -1.6347446825826675]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-630__source_movie__0__angry_media.wav,train,70,1,0,"[-6.532697015173741, 4.282438026356872]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-667__source_movie__0__angry_media.wav,train,8,6,3,"[-20.987314771703346, -5.719012268188406]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0016_000546.wav,train,116,2,1,"[11.170491548240387, -4.9264348810635]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-458__source_movie__0__angry_media.wav,train,73,6,3,"[-18.06090407443096, -3.9252586330296406]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/OAF_chair_angry.wav,train,101,9,1,"[11.733456495761759, -4.521941157863231]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-608__source_movie__0__angry_media.wav,train,21,1,0,"[-6.008800300720807, 4.386399818730951]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-602__source_movie__1__angry_media.wav,train,6,5,3,"[-17.861583268792803, -13.832609028560185]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-317__source_drama__0__angry_media.wav,train,117,1,0,"[-5.905425169857616, 4.3226135574106115]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-126__source_drama__0__angry_media.wav,train,39,11,0,"[2.455883772919244, 4.2948796866268495]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0013_000682.wav,train,2,2,1,"[11.112489804242601, -4.663811590517908]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000499.wav,train,4,2,1,"[11.087089413893132, -4.489474788673883]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-53__source_drama__1__angry_media.wav,train,13,3,0,"[-4.475463060580566, 4.529006308644486]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-02-01-02-15.wav,train,109,7,1,"[12.666229731952978, -5.813954677715267]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-532__source_movie__0__angry_media.wav,train,96,1,0,"[-5.626991072244054, 4.136730869847025]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-426__source_movie__1__angry_media.wav,train,21,1,0,"[-6.010616158336755, 4.388501413457777]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-418__source_movie__0__angry_media.wav,train,96,1,0,"[-5.63042902679817, 4.1312998581795775]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-204__source_drama__0__angry_media.wav,train,118,0,0,"[-4.171146101775394, 1.5609216958978285]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-624__source_movie__1__angry_media.wav,train,26,6,3,"[-21.337380678932913, -5.331367100395843]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-153__source_drama__0__angry_media.wav,train,13,3,0,"[-4.481304058854886, 4.531146312694653]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-699__source_movie__0__angry_media.wav,train,24,1,0,"[-6.001400277755585, 4.000857240468656]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1072_TIE_ANG_XX.wav,train,93,4,2,"[5.254067205824472, -1.9826579933356774]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-63__source_drama__1__angry_media.wav,train,13,3,0,"[-4.464143307214961, 4.513243890490793]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-335__source_drama__0__angry_media.wav,train,21,1,0,"[-5.989081683146786, 4.378960104689819]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-140__source_drama__0__angry_media.wav,train,21,1,0,"[-5.977278231571363, 4.394140056315521]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000441.wav,train,4,2,1,"[11.089692541111065, -4.509629789854897]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-712__source_movie__0__angry_media.wav,train,21,1,0,"[-6.0100392753594765, 4.3827777739496385]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-202__source_drama__0__angry_media.wav,train,114,1,0,"[-6.174426623365959, 4.153826776601708]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-304__source_drama__0__angry_media.wav,train,104,0,0,"[-3.856755078360631, 1.8564645770962451]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-593__source_movie__0__angry_media.wav,train,96,1,0,"[-5.62716058032, 4.13929376546213]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-521__source_movie__0__angry_media.wav,train,100,6,3,"[-22.739273599798103, -5.911300719648567]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000697.wav,train,119,2,1,"[11.051611606228052, -4.99249542951104]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-209__source_drama__0__angry_media.wav,train,21,1,0,"[-5.99577706632614, 4.411285491132501]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000510.wav,train,50,2,1,"[11.112377367931977, -4.802771105065942]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-404__source_movie__0__angry_media.wav,train,26,6,3,"[-21.335379735600768, -5.264541393125273]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-43__source_drama__0__angry_media.wav,train,107,3,0,"[-4.693606033627485, 5.121524710357419]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0015_000426.wav,train,7,2,1,"[11.243591207167826, -4.963204283420773]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1019_DFA_ANG_XX.wav,train,34,4,2,"[6.336990362002258, -0.8246596906988343]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1044_DFA_ANG_XX.wav,train,5,4,2,"[5.239142161521157, 0.38569306958530714]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/OAF_jail_angry.wav,train,120,10,1,"[10.822401860764126, -1.3988785813531877]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-592__source_movie__0__angry_media.wav,train,121,6,3,"[-19.13494533724751, -3.2526192396411315]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1044_WSI_ANG_XX.wav,train,85,4,2,"[6.5221032608761025, -0.8181719709498433]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-196__source_drama__0__angry_media.wav,train,11,1,0,"[-5.88928241578028, 4.122505793913039]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-378__source_drama__0__angry_media.wav,train,122,0,0,"[-3.847179872361271, 0.9849820970108956]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-244__source_drama__0__angry_media.wav,train,41,1,0,"[-5.876467449776124, 4.492543868631262]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-412__source_movie__1__angry_media.wav,train,6,5,3,"[-17.857198836279995, -12.753563524214595]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000583.wav,train,50,2,1,"[11.107737017054125, -4.801199641837327]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-638__source_movie__0__angry_media.wav,train,123,1,0,"[-6.223005728749991, 4.022389416212685]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-457__source_movie__0__angry_media.wav,train,8,6,3,"[-20.97909250271431, -5.941125653623087]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-583__source_movie__0__angry_media.wav,train,123,1,0,"[-6.275084905367677, 4.010996735666717]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-55__source_drama__0__angry_media.wav,train,124,0,0,"[-3.1202996895473443, 1.0088917839246307]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-305__source_drama__0__angry_media.wav,train,124,0,0,"[-3.186242082701647, 0.8763540971933431]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-423__source_movie__1__angry_media.wav,train,125,1,0,"[-5.897032516295844, 4.294350252983907]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-94__source_drama__0__angry_media.wav,train,81,0,0,"[-2.8911769905934133, 1.7968379499587712]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-134__source_drama__0__angry_media.wav,train,104,0,0,"[-3.7951431626765944, 1.9056888671632937]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1005_WSI_ANG_XX.wav,train,85,4,2,"[6.481646301349619, -0.7425682243521128]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-380__source_drama__0__angry_media.wav,train,5,4,2,"[4.712957397462587, 0.3422907315959743]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-272__source_drama__0__angry_media.wav,train,111,1,0,"[-5.614258327437203, 4.1360491079440775]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-661__source_movie__0__angry_media.wav,train,99,1,0,"[-6.2529298292798, 4.516535838444784]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-451__source_movie__0__angry_media.wav,train,21,1,0,"[-6.006250263381557, 4.393436964314441]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1065_IEO_ANG_HI.wav,train,22,4,2,"[6.087323979484255, -1.2948950817942892]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1028_IEO_ANG_HI.wav,train,22,4,2,"[6.033696783641867, -1.2592781789048726]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1016_IEO_ANG_HI.wav,train,34,4,2,"[6.340059733072105, -0.8814699812582356]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/OAF_dime_angry.wav,train,19,9,1,"[11.7487095244189, -3.836509453611952]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-512__source_movie__0__angry_media.wav,train,26,6,3,"[-21.286688752070766, -5.209498756337713]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-612__source_movie__1__angry_media.wav,train,96,1,0,"[-5.626490540824142, 4.133169607685871]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-498__source_movie__0__angry_media.wav,train,126,1,0,"[-6.289847687195178, 3.8273243690230476]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0019_000571.wav,train,45,2,1,"[11.122479859243942, -4.659457680911163]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-57__source_drama__0__angry_media.wav,train,111,1,0,"[-5.612804828837793, 4.137398819730153]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-02-02-01-03.wav,train,66,12,1,"[7.048992415849145, -6.849706998466468]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-542__source_movie__0__angry_media.wav,train,127,1,0,"[-5.88023714387949, 4.249322072950874]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-166__source_drama__0__angry_media.wav,train,112,3,0,"[-4.263501825870319, 4.520810130362042]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-527__source_movie__0__angry_media.wav,train,65,1,0,"[-6.090275430128198, 4.09915987828936]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-169__source_drama__0__angry_media.wav,train,21,1,0,"[-5.99029569044152, 4.396410572083956]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-485__source_movie__0__angry_media.wav,train,21,1,0,"[-5.989684166235482, 4.404444286619261]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-566__source_movie__0__angry_media.wav,train,123,1,0,"[-6.2588167051868915, 4.061774287395411]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-218__source_drama__0__angry_media.wav,train,74,1,0,"[-5.578708185525058, 4.441417981284983]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-23__source_drama__0__angry_media.wav,train,128,16,0,"[-8.162198848012983, 0.6399938589648839]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-693__source_movie__0__angry_media.wav,train,129,1,0,"[-6.197987765696597, 4.156086792797092]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-02-01-01-21.wav,train,57,7,1,"[12.999733506701201, -5.999628313663205]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-13__source_drama__0__angry_media.wav,train,21,1,0,"[-5.9851259308798275, 4.391121756712896]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0020_000586.wav,train,102,2,1,"[11.262541389460782, -4.806144773782456]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0015_000599.wav,train,2,2,1,"[11.111602338587952, -4.666927953053416]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-390__source_drama__0__angry_media.wav,train,130,1,0,"[-5.458390242907001, 4.231357107614907]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1008_IEO_ANG_MD.wav,train,22,4,2,"[5.998082506717873, -1.2424574154325534]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-252__source_drama__0__angry_media.wav,train,64,3,0,"[-4.6901855001190205, 4.924058541508998]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1002_TAI_ANG_XX.wav,train,34,4,2,"[6.338570553822986, -0.8552360569775797]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0015_000606.wav,train,2,2,1,"[11.112484141054338, -4.666078703597018]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-157__source_drama__0__angry_media.wav,train,27,1,0,"[-5.670273245863719, 3.995460737865219]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/OAF_loaf_angry.wav,train,33,10,1,"[8.664934652128466, -2.0933443024326412]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1070_DFA_ANG_XX.wav,train,5,4,2,"[5.202556634386841, 0.6145535325714481]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-503__source_movie__0__angry_media.wav,train,131,5,3,"[-10.317380231676962, -5.861967028316989]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-687__source_movie__0__angry_media.wav,train,13,3,0,"[-4.512428906210202, 4.478312203955166]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-281__source_drama__0__angry_media.wav,train,132,3,0,"[-5.14920983602816, 4.799891624630964]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-249__source_drama__0__angry_media.wav,train,76,0,0,"[-3.7794346738037006, 1.56661501401935]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-479__source_movie__0__angry_media.wav,train,21,1,0,"[-5.998621360899881, 4.386835767487332]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1027_WSI_ANG_XX.wav,train,85,4,2,"[6.548179884723102, -0.8061131550281978]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-577__source_movie__0__angry_media.wav,train,46,3,0,"[-4.684780893003418, 4.791115332319552]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-639__source_movie__0__angry_media.wav,train,13,3,0,"[-4.486858273565572, 4.535723123210066]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0012_000524.wav,train,2,2,1,"[11.11274428509217, -4.664232096905995]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-605__source_movie__0__angry_media.wav,train,36,6,3,"[-21.28346204327347, -5.409399538272742]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-648__source_movie__0__angry_media.wav,train,75,1,0,"[-6.162264339364977, 4.396526245552451]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-295__source_drama__1__angry_media.wav,train,36,6,3,"[-21.21011126938381, -5.425964349270328]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-294__source_drama__0__angry_media.wav,train,111,1,0,"[-5.614406440398647, 4.142832521257987]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-428__source_movie__1__angry_media.wav,train,69,5,3,"[-11.8381786832763, -14.534395586947394]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-237__source_drama__0__angry_media.wav,train,111,1,0,"[-5.610411352901033, 4.143910768239269]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-484__source_movie__1__angry_media.wav,train,21,1,0,"[-6.01504540836914, 4.406584601288679]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1003_IOM_ANG_XX.wav,train,42,4,2,"[5.848708264154805, 0.10140519169356163]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-658__source_movie__1__angry_media.wav,train,21,1,0,"[-5.9996892371689166, 4.3941871197462]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1050_DFA_ANG_XX.wav,train,22,4,2,"[6.101292875498613, -1.3010061790341456]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-62__source_drama__0__angry_media.wav,train,80,1,0,"[-6.010034593449078, 4.009047510406657]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0013_000599.wav,train,50,2,1,"[11.113243544513546, -4.819267759375938]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-239__source_drama__0__angry_media.wav,train,46,3,0,"[-4.6377198407222835, 4.794267586224853]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-77__source_drama__0__angry_media.wav,train,11,1,0,"[-5.882625962951409, 4.128119569074458]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-107__source_drama__0__angry_media.wav,train,111,1,0,"[-5.6147884226581235, 4.143681211162142]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-690__source_movie__1__angry_media.wav,train,11,1,0,"[-5.878404678329887, 4.093360624304028]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1050_ITS_ANG_XX.wav,train,22,4,2,"[6.109357497083216, -1.2376886336952742]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/OAF_door_angry.wav,train,19,9,1,"[11.805320932546342, -3.837130907602941]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000512.wav,train,2,2,1,"[11.111940098889542, -4.666125988324443]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1074_IWL_ANG_XX.wav,train,58,13,2,"[8.819132214785862, 4.20982650270956]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-59__source_drama__0__angry_media.wav,train,13,3,0,"[-4.476647830166397, 4.538844871337471]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-552__source_movie__0__angry_media.wav,train,21,1,0,"[-6.002913660253475, 4.37249174355782]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-116__source_drama__1__angry_media.wav,train,0,0,0,"[-3.349670497351262, 1.1508875262353357]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-253__source_drama__0__angry_media.wav,train,35,3,0,"[-4.598820871299096, 5.124061927628112]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000398.wav,train,4,2,1,"[11.078878068594753, -4.474438556041344]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-723__source_movie__0__angry_media.wav,train,107,3,0,"[-4.749191374729628, 5.162384610834185]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/OAF_ditch_angry.wav,train,90,9,1,"[11.32979392320847, -3.9284516526283384]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-41__source_drama__1__angry_media.wav,train,21,1,0,"[-5.992094703337417, 4.374105998743806]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/OAF_gun_angry.wav,train,90,9,1,"[11.286214824553772, -3.699889573489092]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-173__source_drama__0__angry_media.wav,train,133,15,0,"[-5.554650018671434, 7.916859678013017]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-517__source_movie__1__angry_media.wav,train,69,5,3,"[-13.970199272290317, -14.673122917991146]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-475__source_movie__0__angry_media.wav,train,96,1,0,"[-5.628409727778615, 4.140509300491576]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-336__source_drama__0__angry_media.wav,train,134,1,0,"[-5.871032278633434, 4.28506171241843]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-557__source_movie__1__angry_media.wav,train,21,1,0,"[-6.006379236792113, 4.3939555610361225]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-51__source_drama__1__angry_media.wav,train,135,0,0,"[-2.553356519567147, 1.5537566099152802]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-271__source_drama__0__angry_media.wav,train,0,0,0,"[-3.3388091021286526, 1.1112709587990977]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1069_IEO_ANG_HI.wav,train,34,4,2,"[6.342708049915613, -0.8901079160660488]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-76__source_drama__0__angry_media.wav,train,11,1,0,"[-5.88202511065005, 4.12591183280901]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-701__source_movie__0__angry_media.wav,train,11,1,0,"[-5.894533003566419, 4.10080849840974]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-448__source_movie__0__angry_media.wav,train,63,0,0,"[-4.150802577342316, 1.618115342339707]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-449__source_movie__0__angry_media.wav,train,11,1,0,"[-5.893547447647878, 4.113607344197869]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-179__source_drama__0__angry_media.wav,train,115,16,0,"[-8.66553025446812, -1.8817647443838155]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000518.wav,train,4,2,1,"[11.079250644654195, -4.4660813535828146]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-660__source_movie__0__angry_media.wav,train,6,5,3,"[-17.113690225783582, -12.100781835467258]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0016_000673.wav,train,116,2,1,"[11.206543838393218, -4.962487171216331]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-433__source_movie__0__angry_media.wav,train,96,1,0,"[-5.625450885100999, 4.139793891003102]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1068_TSI_ANG_XX.wav,train,22,4,2,"[6.102495323381692, -1.2728702687585036]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1032_IEO_ANG_HI.wav,train,93,4,2,"[5.16690921553013, -2.404049404206508]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1050_MTI_ANG_XX.wav,train,34,4,2,"[6.3481132275321075, -0.8568753297840169]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1050_IWL_ANG_XX.wav,train,15,4,2,"[4.2652576233033255, 0.26443779196212636]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000570.wav,train,2,2,1,"[11.112276189931107, -4.663630737583831]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-386__source_drama__0__angry_media.wav,train,81,0,0,"[-2.8919534263573072, 1.8327987464837472]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0020_000471.wav,train,2,2,1,"[11.112946521865583, -4.664462303050027]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-627__source_movie__0__angry_media.wav,train,62,6,3,"[-21.282027673278115, -6.115925484563086]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-556__source_movie__1__angry_media.wav,train,96,1,0,"[-5.624409100957807, 4.136195949463461]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-302__source_drama__0__angry_media.wav,train,78,1,0,"[-5.411176166195922, 4.210087148800027]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-492__source_movie__0__angry_media.wav,train,100,6,3,"[-22.72072968317594, -6.254557780800208]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-56__source_drama__1__angry_media.wav,train,86,1,0,"[-5.906487762281652, 3.7200793667294465]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-675__source_movie__0__angry_media.wav,train,1,1,0,"[-6.118321683864217, 4.374108503824173]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-82__source_drama__0__angry_media.wav,train,21,1,0,"[-5.989937030105043, 4.3874752178907555]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-688__source_movie__0__angry_media.wav,train,21,1,0,"[-5.994802831007653, 4.400106193435551]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-684__source_movie__0__angry_media.wav,train,113,6,3,"[-21.820381424994046, -5.9659159562039745]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1088_IOM_ANG_XX.wav,train,15,4,2,"[4.2448620529152725, 0.683375888497566]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1066_IEO_ANG_HI.wav,train,22,4,2,"[6.104626373203033, -1.2436835240514854]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1089_IWL_ANG_XX.wav,train,42,4,2,"[5.74958613953996, -0.1939241917114851]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-138__source_drama__0__angry_media.wav,train,35,3,0,"[-4.556720762439626, 5.060493744932214]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-01-01-01-01.wav,train,31,7,1,"[13.309775202558129, -5.868124365340851]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000521.wav,train,2,2,1,"[11.113066010535599, -4.666181555694517]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-222__source_drama__0__angry_media.wav,train,34,4,2,"[6.264409072419265, -0.8580373307521276]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-150__source_drama__0__angry_media.wav,train,79,1,0,"[-5.791620328340188, 4.377567973415366]"
